1334 NA10846 NA12144 NA12145 1 0
1334 NA12144 0 0 1 0
1334 NA12145 0 0 2 0
1334a NA10847 NA12146 NA12239 2 0
1334a NA12146 0 0 1 0
1334a NA12239 0 0 2 0
1340 NA07029 NA06994 NA07000 1 0
1340 NA06994 0 0 1 0
1340 NA07000 0 0 2 0
1340a NA07019 NA07022 NA07056 2 0
1340a NA07022 0 0 1 0
1340a NA07056 0 0 2 0
1341 NA07048 NA07034 NA07055 1 0
1341 NA07034 0 0 1 0
1341 NA07055 0 0 2 0
1341a NA06991 NA06993 NA06985 2 0
1341a NA06993 0 0 1 0
1341a NA06985 0 0 2 0
1344 NA10851 NA12056 NA12057 1 0
1344 NA12056 0 0 1 0
1344 NA12057 0 0 2 0
1345 NA07348 NA07357 NA07345 2 0
1345 NA07357 0 0 1 0
1345 NA07345 0 0 2 0
1346 NA10857 NA12043 NA12044 1 0
1346 NA12043 0 0 1 0
1346 NA12044 0 0 2 0
1347 NA10859 NA11881 NA11882 2 0
1347 NA11881 0 0 1 0
1347 NA11882 0 0 2 0
1349 NA10854 NA11839 NA11840 2 0
1349 NA11839 0 0 1 0
1349 NA11840 0 0 2 0
1350 NA10856 NA11829 NA11830 1 0
1350 NA11829 0 0 1 0
1350 NA11830 0 0 2 0
1350a NA10855 NA11831 NA11832 2 0
1350a NA11831 0 0 1 0
1350a NA11832 0 0 2 0
1358 NA12707 NA12716 NA12717 1 0
1358 NA12716 0 0 1 0
1358 NA12717 0 0 2 0
1362 NA10860 NA11992 NA11993 1 0
1362 NA11992 0 0 1 0
1362 NA11993 0 0 2 0
1362a NA10861 NA11994 NA11995 2 0
1362a NA11994 0 0 1 0
1362a NA11995 0 0 2 0
1375 NA10863 NA12264 NA12234 2 0
1375 NA12264 0 0 1 0
1375 NA12234 0 0 2 0
1408 NA10830 NA12154 NA12236 1 0
1408 NA12154 0 0 1 0
1408 NA12236 0 0 2 0
1408a NA10831 NA12155 NA12156 2 0
1408a NA12155 0 0 1 0
1408a NA12156 0 0 2 0
1416 NA10835 NA12248 NA12249 1 0
1416 NA12248 0 0 1 0
1416 NA12249 0 0 2 0
1420 NA10838 NA12003 NA12004 1 0
1420 NA12003 0 0 1 0
1420 NA12004 0 0 2 0
1420a NA10839 NA12005 NA12006 2 0
1420a NA12005 0 0 1 0
1420a NA12006 0 0 2 0
1444 NA12740 NA12750 NA12751 2 0
1444 NA12750 0 0 1 0
1444 NA12751 0 0 2 0
1447 NA12752 NA12760 NA12761 1 0
1447 NA12760 0 0 1 0
1447 NA12761 0 0 2 0
1447a NA12753 NA12762 NA12763 2 0
1447a NA12762 0 0 1 0
1447a NA12763 0 0 2 0
1454 NA12801 NA12812 NA12813 1 0
1454 NA12812 0 0 1 0
1454 NA12813 0 0 2 0
1454a NA12802 NA12814 NA12815 2 0
1454a NA12814 0 0 1 0
1454a NA12815 0 0 2 0
1459 NA12864 NA12872 NA12873 1 0
1459 NA12872 0 0 1 0
1459 NA12873 0 0 2 0
1459a NA12865 NA12874 NA12875 2 0
1459a NA12874 0 0 1 0
1459a NA12875 0 0 2 0
1463 NA12878 NA12891 NA12892 2 0
1463 NA12891 0 0 1 0
1463 NA12892 0 0 2 0
chi1 NA18526 0 0 2 0
chi2 NA18524 0 0 1 0
chi3 NA18529 0 0 2 0
chi4 NA18558 0 0 1 0
chi5 NA18532 0 0 2 0
chi6 NA18561 0 0 1 0
jap1 NA18942 0 0 2 0
jap2 NA18940 0 0 1 0
jap3 NA18951 0 0 2 0
jap4 NA18943 0 0 1 0
jap5 NA18947 0 0 2 0
jap6 NA18944 0 0 1 0
chi7 NA18562 0 0 1 0
chi8 NA18537 0 0 2 0
chi9 NA18603 0 0 1 0
chi10 NA18540 0 0 2 0
chi11 NA18605 0 0 1 0
chi12 NA18542 0 0 2 0
jap7 NA18945 0 0 1 0
jap8 NA18949 0 0 2 0
jap9 NA18948 0 0 1 0
jap10 NA18952 0 0 1 0
jap11 NA18956 0 0 2 0
chi13 NA18545 0 0 2 0
chi46 NA18572 0 0 1 0
chi15 NA18547 0 0 2 0
chi16 NA18609 0 0 1 0
chi17 NA18550 0 0 2 0
chi18 NA18608 0 0 1 0
jap12 NA18964 0 0 2 0
jap13 NA18953 0 0 1 0
jap14 NA18968 0 0 2 0
jap15 NA18959 0 0 1 0
jap16 NA18969 0 0 2 0
jap17 NA18960 0 0 1 0
chi19 NA18552 0 0 2 0
chi20 NA18611 0 0 1 0
chi21 NA18555 0 0 2 0
chi22 NA18564 0 0 2 0
jap18 NA18961 0 0 1 0
jap19 NA18972 0 0 2 0
jap20 NA18965 0 0 1 0
jap21 NA18973 0 0 2 0
jap22 NA18966 0 0 1 0
jap23 NA18975 0 0 2 0
chi23 NA18566 0 0 2 0
chi24 NA18563 0 0 1 0
chi25 NA18570 0 0 2 0
chi26 NA18612 0 0 1 0
chi27 NA18571 0 0 2 0
chi28 NA18620 0 0 1 0
jap24 NA18976 0 0 2 0
jap25 NA18967 0 0 1 0
jap26 NA18978 0 0 2 0
jap27 NA18970 0 0 1 0
jap28 NA18980 0 0 2 0
jap29 NA18995 0 0 1 0
chi29 NA18621 0 0 1 0
chi30 NA18594 0 0 2 0
chi31 NA18622 0 0 1 0
chi32 NA18573 0 0 2 0
chi33 NA18623 0 0 1 0
chi34 NA18576 0 0 2 0
jap30 NA18971 0 0 1 0
jap31 NA18981 0 0 2 0
jap32 NA18974 0 0 1 0
jap33 NA18987 0 0 2 0
jap34 NA18990 0 0 1 0
jap35 NA18991 0 0 2 0
chi35 NA18577 0 0 2 0
chi36 NA18624 0 0 1 0
chi37 NA18579 0 0 2 0
chi38 NA18632 0 0 1 0
chi39 NA18582 0 0 2 0
chi40 NA18633 0 0 1 0
jap36 NA18994 0 0 1 0
jap37 NA18992 0 0 2 0
jap38 NA18997 0 0 2 0
jap39 NA18996 0 0 1 0
chi41 NA18635 0 0 1 0
chi42 NA18592 0 0 2 0
chi43 NA18636 0 0 1 0
chi44 NA18593 0 0 2 0
chi45 NA18637 0 0 1 0
jap40 NA19000 0 0 1 0
jap41 NA18998 0 0 2 0
jap42 NA19005 0 0 1 0
jap43 NA18999 0 0 2 0
jap44 NA19007 0 0 1 0
jap45 NA19003 0 0 2 0
jap46 NA19012 0 0 1 0
Yoruba004 NA18500 NA18501 NA18502 1 0
Yoruba004 NA18501 0 0 1 0
Yoruba004 NA18502 0 0 2 0
Yoruba005 NA18503 NA18504 NA18505 1 0
Yoruba005 NA18504 0 0 1 0
Yoruba005 NA18505 0 0 2 0
Yoruba009 NA18506 NA18507 NA18508 1 0
Yoruba009 NA18507 0 0 1 0
Yoruba009 NA18508 0 0 2 0
Yoruba012 NA18860 NA18859 NA18858 1 0
Yoruba012 NA18859 0 0 1 0
Yoruba012 NA18858 0 0 2 0
Yoruba013 NA18515 NA18516 NA18517 1 0
Yoruba013 NA18516 0 0 1 0
Yoruba013 NA18517 0 0 2 0
Yoruba016 NA18521 NA18522 NA18523 1 0
Yoruba016 NA18522 0 0 1 0
Yoruba016 NA18523 0 0 2 0
Yoruba017 NA18872 NA18871 NA18870 1 0
Yoruba017 NA18871 0 0 1 0
Yoruba017 NA18870 0 0 2 0
Yoruba018 NA18854 NA18853 NA18852 1 0
Yoruba018 NA18853 0 0 1 0
Yoruba018 NA18852 0 0 2 0
Yoruba023 NA18857 NA18856 NA18855 1 0
Yoruba023 NA18856 0 0 1 0
Yoruba023 NA18855 0 0 2 0
Yoruba024 NA18863 NA18862 NA18861 1 0
Yoruba024 NA18862 0 0 1 0
Yoruba024 NA18861 0 0 2 0
Yoruba028 NA18914 NA18913 NA18912 1 0
